"Year","Quarter","Expenditure"
1950,1,231
1950,2,208
1950,3,198
1950,4,240
1951,1,242
1951,2,213
1951,3,215
1951,4,264
1952,1,263
1952,2,227
1952,3,229
1952,4,270
1953,1,263
1953,2,241
1953,3,248
1953,4,269
1954,1,275
1954,2,242
1954,3,246
1954,4,286
1955,1,266
1955,2,247
1955,3,253
1955,4,283
1956,1,267
1956,2,242
1956,3,266
1956,4,312
1957,1,307
1957,2,262
1957,3,266
1957,4,314
1958,1,286
1958,2,268
1958,3,268
1958,4,316
1959,1,301
1959,2,273
1959,3,272
1959,4,293
1960,1,277
1960,2,250
1960,3,262
1960,4,327
1961,1,319
1961,2,300
1961,3,304
1961,4,348
1962,1,338
1962,2,297
1962,3,281
1962,4,334
1963,1,311
1963,2,281
1963,3,285
1963,4,331
1964,1,311
1964,2,299
1964,3,292
1964,4,335
1965,1,333
1965,2,311
1965,3,313
1965,4,351
1966,1,351
1966,2,336
1966,3,345
1966,4,373
1967,1,370
1967,2,349
1967,3,363
1967,4,412
1968,1,397
1968,2,360
1968,3,371
1968,4,410
1969,1,390
1969,2,363
1969,3,368
1969,4,401
1970,1,394
1970,2,376
1970,3,388
1970,4,423
1971,1,399
1971,2,376
1971,3,382
1971,4,422
1972,1,422
1972,2,393
1972,3,410
1972,4,450
1973,1,447
1973,2,411
1973,3,415
1973,4,443
1974,1,430
1974,2,410
1974,3,426
1974,4,458
1975,1,464
1975,2,435
1975,3,424
1975,4,468
1976,1,462
1976,2,438
1976,3,450
1976,4,493
1977,1,494
1977,2,448
1977,3,462
1977,4,507
1978,1,497
1978,2,462
1978,3,475
1978,4,521
1979,1,509
1979,2,477
1979,3,475
1979,4,524
1980,1,512
1980,2,475
1980,3,495
1980,4,537
1981,1,526
1981,2,523
1981,3,518
1981,4,549
1982,1,552
1982,2,527
1982,3,531
1982,4,574
1983,1,562
1983,2,530
1983,3,527
1983,4,583
1984,1,580
1984,2,542
1984,3,566
1984,4,596
1985,1,599
1985,2,567
1985,3,582
1985,4,634
1986,1,621
1986,2,589
1986,3,594
1986,4,646
1987,1,620
1987,2,585
1987,3,608
1987,4,641
1988,1,636
1988,2,618
1988,3,623
1988,4,657
1989,1,642
1989,2,612
1989,3,634
1989,4,673
1990,1,685
1990,2,666
1990,3,677
1990,4,720
1991,1,720
1991,2,679
1991,3,685
1991,4,751
1992,1,740
1992,2,715
1992,3,724
1992,4,760
1993,1,739
1993,2,715
1993,3,720
1993,4,764
1994,1,774
1994,2,741
1994,3,751
1994,4,800
1995,1,787
1995,2,761
1995,3,771
1995,4,810
1996,1,798
1996,2,772
1996,3,766
1996,4,829
1997,1,829
1997,2,790
1997,3,797
1997,4,843
1998,1,838
1998,2,827
1998,3,832
1998,4,863
1999,1,856
1999,2,830
1999,3,832
1999,4,882
2000,1,887
2000,2,880
2000,3,875
2000,4,909
2001,1,917
2001,2,895
2001,3,890
2001,4,942
2002,1,931
2002,2,893
2002,3,918
2002,4,990
2003,1,987
2003,2,961
2003,3,951
2003,4,1000
2004,1,988
2004,2,980
2004,3,982
2004,4,1033
2005,1,1023
2005,2,1015
2005,3,1017
2005,4,1065
2006,1,1065
2006,2,1030
2006,3,1046
2006,4,1094
2007,1,1069
2007,2,1061
2007,3,1086
2007,4,1126
2008,1,1134
2008,2,1093
2008,3,1119
2008,4,1158
2009,1,1168
2009,2,1146
2009,3,1149
2009,4,1195
2010,1,1185
2010,2,1177
2010,3,1168
2010,4,1226
2011,1,1218
2011,2,1190
2011,3,1193
2011,4,1240
2012,1,1233
2012,2,1211
2012,3,1224
2012,4,1279
2013,1,1282
2013,2,1254
2013,3,1266
2013,4,1302
2014,1,1295
2014,2,1274
2014,3,1283
2014,4,1341
2015,1,1355
2015,2,1338
2015,3,1355
2015,4,1380
2016,1,1375
2016,2,1360
2016,3,1369
2016,4,1424
2017,1,1421
2017,2,1388
2017,3,1397
2017,4,1440
2018,1,1439
2018,2,1420
2018,3,1437
2018,4,1492
2019,1,1482
2019,2,1463
2019,3,1479
2019,4,1528
2020,1,1512
2020,2,1490
2020,3,1515
2020,4,1583
